"TASMSOL"
.ALTWILD

CMC ""			4AFD		2		 NOP 		 1
MOV A,BP			4A		1		 NOP 		 1
PUSHA ""			4B		1		 NOP 		 1
POPA ""			4C		1		 NOP 		 1
MOV SI,U16			4DFD		4		 NOP 		 1
MOV SI,A			4D		1		 NOP 		 1
MOV SI,D			4EFD		2		 NOP 		 1
MOV A,SI			4E		1		 NOP 		 1
MOV DI,U16			4FFD		4		 NOP 		 1
MOV DI,A			4F		1		 NOP 		 1

MOV DI,D			50FD		2		 NOP 		 1
MOV A,DI			50		1		 NOP 		 1
INC SP			51FD		2		 NOP 		 1
ADD SP,I16			51		3		 NOP 		 1
DEC SP			52FD		2		 NOP 		 1
SUB SP,I16			52		3		 NOP 		 1
STC ""			53FD		2		 NOP 		 1
ADD A,I16			53		3		 NOP 		 1
CLC ""			54FD		2		 NOP 		 1
ADD A,B			54		1		 NOP 		 1
ADD A,C			55FD		2		 NOP 		 1
ADD B,I16			55		3		 NOP 		 1
ADD A,D			56FD		2		 NOP 		 1
ADD B,A			56		1		 NOP 		 1
ADD B,C			57FD		2		 NOP 		 1
ADD C,I16			57		3		 NOP 		 1
ADD B,D			58FD		2		 NOP 		 1
ADD D,I16			58		3		 NOP 		 1
ADD C,A			59FD		2		 NOP 		 1
ADD D,A			59		1		 NOP 		 1
ADD C,B			5AFD		2		 NOP 		 1
ADD D,B			5A		1		 NOP 		 1
ADD C,D			5BFD		2		 NOP 		 1
ADC A,I16			5B		3		 NOP 		 1
ADD D,C			5CFD		2		 NOP 		 1
ADC A,B			5C		1		 NOP 		 1
SUB A,C			5DFD		2		 NOP 		 1
ADC B,I16			5D		3		 NOP 		 1
SUB A,D			5EFD		2		 NOP 		 1
ADC C,I16			5E		3		 NOP 		 1
SUB B,A			5FFD		2		 NOP 		 1
SUB A,I16			5F		3		 NOP 		 1

SUB B,C			60FD		2		 NOP 		 1
SUB A,B			60		1		 NOP 		 1
SUB B,D			61FD		2		 NOP 		 1
SUB B,I16			61		3		 NOP 		 1
SUB C,A			62FD		2		 NOP 		 1
SUB C,I16			62		3		 NOP 		 1
SUB C,B			63FD		2		 NOP 		 1
SUB D,I16			63		3		 NOP 		 1
SUB C,D			64FD		2		 NOP 		 1
SUB D,A			64		1		 NOP 		 1
SUB D,C			65FD		2		 NOP 		 1
SUB D,B			65		1		 NOP 		 1
ADD AL,AH			66FD		2		 NOP 		 1
SBB A,I16			66		3		 NOP 		 1
ADD AL,BH			67FD		2		 NOP 		 1
SBB A,B			67		1		 NOP 		 1
ADD AL,CL			68FD		2		 NOP 		 1
SBB B,I16			68		3		 NOP 		 1
ADD AL,CH			69FD		2		 NOP 		 1
SBB C,I16			69		3		 NOP 		 1
ADD AL,DL			6AFD		2		 NOP 		 1
ADD AL,I8			6A		2		 NOP 		 1
ADD AL,DH			6BFD		2		 NOP 		 1
ADD AL,BL			6B		1		 NOP 		 1
ADD BL,AL			6CFD		2		 NOP 		 1
ADD BL,I8			6C		2		 NOP 		 1
ADD BL,AH			6DFD		2		 NOP 		 1
ADD CL,I8			6D		2		 NOP 		 1
ADD CL,AL			6EFD		2		 NOP 		 1
ADD CH,I8			6E		2		 NOP 		 1
ADD CL,AH			6FFD		2		 NOP 		 1
SUB AL,I8			6F		2		 NOP 		 1

SUB AL,BL			70		1		 NOP 		 1
SUB CL,I8			71		2		 NOP 		 1
SUB CH,I8			72		2		 NOP 		 1
DEC AH			73		1		 NOP 		 1
MOV D,B			74		1		 NOP 		 1
INC AH			75		1		 NOP 		 1
CMP AH,I8			76		2		 NOP 		 1
INC B			77FD		2		 NOP 		 1
INC A			77		1		 NOP 		 1
MOV G,A			78FD		2		 NOP 		 1
INC C			78		1		 NOP 		 1
MOV G,B			79FD		2		 NOP 		 1
INC D			79		1		 NOP 		 1
MOV G,C			7AFD		2		 NOP 		 1
INC AL			7A		1		 NOP 		 1
MOV G,D			7BFD		2		 NOP 		 1
INC CL			7B		1		 NOP 		 1
MOV G,SI			7CFD		2		 NOP 		 1
INC CH			7C		1		 NOP 		 1
DEC B			7DFD		2		 NOP 		 1
DEC A			7D		1		 NOP 		 1
MOV G,DI			7EFD		2		 NOP 		 1
DEC C			7E		1		 NOP 		 1
DEC D			7F		1		 NOP 		 1

DEC AL			80		1		 NOP 		 1
DEC CL			81		1		 NOP 		 1
DEC CH			82		1		 NOP 		 1
MOV CL,GH			83FD		2		 NOP 		 1
MOV CL,AL			83		1		 NOP 		 1
NAND AL,U8			84FD		3		 NOP 		 1
MOV AL,CL			84		1		 NOP 		 1
NAND A,U16			85FD		4		 NOP 		 1
AND A,U16			85		3		 NOP 		 1
NAND A,B			86FD		2		 NOP 		 1
AND A,B			86		1		 NOP 		 1
AND BL,U8			87FD		3		 NOP 		 1
AND AL,U8			87		2		 NOP 		 1
NAND AL,BL			88FD		2		 NOP 		 1
AND AL,BL			88		1		 NOP 		 1
NOR A,U16			89FD		4		 NOP 		 1
OR A,U16			89		3		 NOP 		 1
NOR A,B			8AFD		2		 NOP 		 1
OR A,B			8A		1		 NOP 		 1
OR BL,U8			8BFD		3		 NOP 		 1
OR AL,U8			8B		2		 NOP 		 1
NOR AL,BL			8CFD		2		 NOP 		 1
OR AL,BL			8C		1		 NOP 		 1
NOR AL,U8			8DFD		3		 NOP 		 1
XOR A,U16			8D		3		 NOP 		 1
ASHR B,CL			8EFD		2		 NOP 		 1
XOR A,B			8E		1		 NOP 		 1
ASHR BL,CL			8FFD		2		 NOP 		 1
XOR AL,U8			8F		2		 NOP 		 1

ASHR B,U8			90FD		3		 NOP 		 1
XOR AL,BL			90		1		 NOP 		 1
ASHR BL,U8			91FD		3		 NOP 		 1
TEST A,U16			91		3		 NOP 		 1
TEST A,B			92		1		 NOP 		 1
TEST BL,U8			93FD		3		 NOP 		 1
TEST AL,U8			93		2		 NOP 		 1
TEST CL,U8			94FD		3		 NOP 		 1
TEST AL,BL			94		1		 NOP 		 1
NEG A			95FD		2		 NOP 		 1
NOT A			95		1		 NOP 		 1
NEG AL			96FD		2		 NOP 		 1
NOT AL			96		1		 NOP 		 1
NEG B			97FD		2		 NOP 		 1
NOT B			97		1		 NOP 		 1
NEG BL			98FD		2		 NOP 		 1
NOT BL			98		1		 NOP 		 1
SHL A			99FD		2		 NOP 		 1
MOV BL,AH			99		1		 NOP 		 1
SHL AL			9AFD		2		 NOP 		 1
MOV BH,AH			9A		1		 NOP 		 1
SHR A			9BFD		2		 NOP 		 1
MOV BP,SP			9B		1		 NOP 		 1
SHR AL			9CFD		2		 NOP 		 1
MOV SP,BP			9C		1		 NOP 		 1
SHL A,U8			9DFD		3		 NOP 		 1
SHL A,CL			9D		1		 NOP 		 1
SHL AL,U8			9EFD		3		 NOP 		 1
